movie,rating,likes,dislikes,title,review
A Beautiful Mind,1,175,109,Schizophrenia is ragged and dirty,"I have experienced schizophrenia first-hand: I have a brother suffering from the disease.I have also read Sylvia Nasar's brilliant biography of John Nash.Against that background, I have to say that the film ""A Beautiful Mind"" is a reprehensible example of filmmaking.It's a complete fabrication of the real story of John Nash. And it's also an irresponsible and grossly inaccurate picture of mental illness and its devastating effect on the family.This movie has taken a very sad story of a man with mental illness and turned it into an absurd fairy tale.That this film would be showered with awards is only more disgraceful. It shows how the elite in Hollywood are completely out of touch with reality.The true story of John Nash is not told in this film. Nor is it any way an accurate depiction of mental illness.It's nothing short of revisionist trash."
A Beautiful Mind,1,69,46,a disgraceful and irresponsible film,"Mental illness has never appeared so snuggly and warm. Watch Russell emote, tics a' flyin!  Watch lovely Jennifer Connelly start her descent into Calista Flockhearts diet zone! Listen to the heart tugging strings as the Ronnie Howard team schmaltzes up a good story and makes it all shiny and happy! The saccharine level was tough, but with enough salt from the popcorn counter I just about made it through. Never mind that the true story of this man is amazing, like Disney before him (and the glowy sitcoms that informed his 'early work') Mr. Howard takes a tough and beautiful story and grinds it down so that it's almost unrecognizable. Shameful how we eat it up."
A Beautiful Mind,1,35,21,Mental illness- Ron Howard style.,"I cannot believe the people that rave about this movie.  ""A Beautiful Mind"" is a terrible thing to waste your time on.  The movie's direction is manipulative and the screenplay is horrid.  I thought this was suppose to be based on the true life of John Nash.  Didn't his wife divorce him in real life? Yes, she did.  Wasn't Nash a homosexual? (Nash says no, but.) Yeah, right, Mr. Nash.  Let's not use truths here let's just make up some stuff that an audience will like.  Well, Hollywood, I might have liked the movie more if his wife had divorced him or if there was a homosexual tinge to the film.  I needed to feel for the character and all this character was is a jerk.  Hell, he says it himself, ""I have a chip on both shoulders"".  The movie makes him come off as a womanizing jerk.  How can I care about him. Well, because Hollywood says we should feel for him and the media says it is a great film.  That's why we like it.  Give me a break.  I know this day will never come, but, I sure wish it would, when will people learn to make there own decisions about movies, music and tv shows, etc. instead of allowing themselves to be conned into liking something just because the media says it is good.  And, don't get me started on the Academy Awards because all that is now is a popularity contest.  The best films or actors or screenplays, whatever, might get nominated but they don't have a chance in hell winning, ie.  ""Memento"", ""Ghost World"", ""Mulholland Drive"", etc."
A Beautiful Mind,1,51,39,"""A Beautiful Mind"" is a terrible thing to waste your time on","This movie is a premium example of hollywood taking a wonderful real life story, changing it altogether to make it edible for the general public and coming up with a movie full of lies. As just a movie, I can see some people will find it interesting. But the movie presents rubbish about Economics and Nash and, of course, game theory. Nash didn't invent game theory as the movie kind of tried to portray. He came up with a notion of equilibrium whoich is simply brilliant and he more than deserves the Nobel.  I think coming up with the equilibrium notion is more of a contribution than iventing game theory. But of course they had to change it to make it sexy enough. The movie is full of lies like this. I understand that most people will not enjoy the movie as much if it were truthful. Nevertheless, that doesn't change the fact that the movie lied about game theory. I think it was awful"
A Beautiful Mind,1,49,39,"HAS OSCAR LOST ITS ""MIND""?!?","This film is despicable garbage.  It has the bare-faced cheek to use a mental illness as an excuse to switch up cinematic genres and it's deeply offensive.  The first hour is completely incomprehensible filmmaking--why does no one, except the viewer, realise there's something wrong with Crowe, I mean, aside from all his bad acting?  Howard straight-jackets all the other actors to prolong his device of dual realities that once revealed, makes no sense whatsoever.  Why don't we as an audience view the sets as any normal person would and focus on Crowe's bizarre behavior?  Just so Howard can make us think we're watching a bad espionage thriller?  Why does every other actor in the film just stand around dumbfounded, forced to give maximus (erm, I mean, maximum) room to Crowe's showboating performance? And what were the details in Jennifer Connelly's pact with the devil to make this wretched film?  Her's is a great beauty that can be used to tremendous effect when a director knows what to do with (like Aronofsky in Requiem). Howard just heaps on the mascara and probably made her wear curlers to bed every night. I can only thank God there was a fire alarm in the cinema so I missed the wretched ""old age make-up"" scenes that looked likely to rival those in ""For The Boys.""  This is dire filmmaking and further proof--as if it were needed after the success of The Sixth Sense--that America has no culture.  Or taste."
A Beautiful Mind,1,25,18,Ron Howard has no right to change the history of Game Theory,"Moviegoers watch out! Russell Crowe is on the lose to bore you to death in this overacted, poorly crafted piece of Hollywood kitsch. Basically the movie is about the life and the fight with schizophrenia of John Nash, a college professor. So far so bad. As the story might have offered some interesting possibilities the film shows us Russell Crowe overacting as bad as he could possibly do. At no time through this 134 minute piece of boredom the viewer can actually believe that John Nash is supposed to be a mathematical genius. We rather get the impression of a clumsy, slighty overweighed farmer strolling around campus. The only reason one would stay in the theater is the beautiful Jennifer Connelly and Ed Harris who delivers yet another great supporting performance. This is by no way an Oscar movie and I will cry bitter tears if Russell Crowe takes away the best male again. Avoid the movie!!"
A Beautiful Mind,1,24,18,Over-rated hype,"The character had no redeeming qualities -- he was a loser, crude, no social skills -- why his wife ever married him is beyond me -- she must have been just as screwed up as him!  I had no interest in this undesirable character and things just got worse.The movie was depressing and I didn't think anything could redeem the movie, so I walked out before the end!  I don't know where the title ""A Beautiful Mind"" came from, because I never saw any hint of it!"
A Beautiful Mind,1,23,17,Complete Rubbish!,"This movie is really not very good.  Russell Crowe is not believable as a nerdy young Princeton student; very forced.  The one twist half way through the movie is interesting for about 30 seconds, then it drags on to a anti-climatic conclusion.  It is obvious that the writers and creators of the film have no idea what higher education is really like.  Save your money and rent it when it's on video in about 4 months."
A Beautiful Mind,1,15,12,An ugly bore.,"I didn't notice any comments here bashing this film, so I think I'd better add one; in my opinion, this was one failed movie. The only three things that kept me watching it to ending were actor Russell Crowe, cinematographer Roger Deakins and composer James Horner.Actually, the film starts pretty good. The first half hour reminded me of quality British dramas (like Chariots of Fire), and had a few marvellous scenes. Just as I was starting to think this would be a good movie, it started to go drastically downhill.The filmmakers (Ron Howard, Akiva Goldsman) get drawn into what appears like two subplots - one about Nash's love affection and one about his paranoia of communist spies - and lose the conception of the film. There's been comments of the film as a tear jerker... Sorry? I didn't find anything emotional about this movie. Towards the ending, it just keeps getting more and more like a bad TV-movie. All characters are poorly written, there is not one single good dramatic scene; a *lot* of the screen time is stolen by imaginary characters (they actually feel more lively than the actual people in the movie).The acting is hopeless; the dreadful direction makes all characters except Nash seem like cameos and the screenplay really feels as it is written by the fellow who wrote Batman & Robin (dah).And the fact that the film isn't thruthful to its subject doesn't make it any better, either."
A Beautiful Mind,1,17,18,Awful!,"When a film wins 4 major Oscars, I feel I have to go and see it. But the most impressive thing about the film was Russell Crowe, the non-Oscar winner.Jennifer Connolley was adequate - she looked well but the part gave her nothing much to do except to be the stereotypical supportive spouse and the role lacked depth.On the face of it the presentation of schizophrenia in the film was intriguing and quite well done.  But then there has been considerable press about the liberties with the facts taken by the filmmakers in presenting the story of John Nash and this made me wonder how realistic this presentation of schizophrenia was and whether, in fact, we were receiving Hollywood's view of the disease.Not a bad film - but not a particularly good one either."
